timestamp,gpu_name,memory_used_mib,memory_total_mib,utilization_gpu_percent,power_draw_w
2026/08/01 16:17:53.020, NVIDIA GeForce RTX 3090, 0, 24576, 0, 23.74
2026/08/01 16:17:54.091, NVIDIA GeForce RTX 3090, 0, 24576, 0, 23.74
2026/08/01 16:17:55.191, NVIDIA GeForce RTX 3090, 0, 24576, 0, 23.75
2026/08/01 16:17:56.248, NVIDIA GeForce RTX 3090, 521, 24576, 11, 64.80
2026/08/01 16:17:57.322, NVIDIA GeForce RTX 3090, 895, 24576, 6, 109.87
2026/08/01 16:17:58.390, NVIDIA GeForce RTX 3090, 1313, 24576, 5, 110.10
2026/08/01 16:17:59.436, NVIDIA GeForce RTX 3090, 1573, 24576, 5, 109.64
2026/08/01 16:18:00.484, NVIDIA GeForce RTX 3090, 1733, 24576, 0, 109.55
2026/08/01 16:18:01.546, NVIDIA GeForce RTX 3090, 0, 24576, 0, 110.74
2026/08/01 16:18:02.596, NVIDIA GeForce RTX 3090, 427, 24576, 8, 111.14
2026/08/01 16:18:03.644, NVIDIA GeForce RTX 3090, 769, 24576, 11, 110.62
2026/08/01 16:18:04.696, NVIDIA GeForce RTX 3090, 793, 24576, 0, 109.04
2026/08/01 16:18:05.758, NVIDIA GeForce RTX 3090, 793, 24576, 0, 108.82
2026/08/01 16:18:06.822, NVIDIA GeForce RTX 3090, 793, 24576, 0, 108.82
2026/08/01 16:18:07.871, NVIDIA GeForce RTX 3090, 793, 24576, 0, 108.79
2026/08/01 16:18:08.916, NVIDIA GeForce RTX 3090, 793, 24576, 0, 108.63
2026/08/01 16:18:09.982, NVIDIA GeForce RTX 3090, 793, 24576, 0, 108.27
2026/08/01 16:18:11.046, NVIDIA GeForce RTX 3090, 793, 24576, 0, 108.52
2026/08/01 16:18:12.118, NVIDIA GeForce RTX 3090, 793, 24576, 0, 108.29
2026/08/01 16:18:13.163, NVIDIA GeForce RTX 3090, 799, 24576, 3, 108.47
2026/08/01 16:18:14.246, NVIDIA GeForce RTX 3090, 1847, 24576, 18, 111.23
2026/08/01 16:18:15.291, NVIDIA GeForce RTX 3090, 1847, 24576, 0, 109.98
2026/08/01 16:18:16.340, NVIDIA GeForce RTX 3090, 1847, 24576, 0, 108.72
