run_tag=20260727_siba_official_protocol
start_time=2026-07-27T04:52:38+08:00
official_commit=880a1ddf9eaa610c64e5f25f87fbb146448addc9
training_pairs=1283
Mon Jul 27 04:52:38 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 3090        On  |   00000000:4F:00.0 Off |                  N/A |
| 30%   28C    P8             22W /  350W |       0MiB /  24576MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
=== Jittor 60-epoch full training ===
[38;5;2m[i 0727 04:52:38.814315 36 compiler.py:955] Jittor(1.3.11.0) src: /root/autodl-tmp/envs/siba_jittor/lib/python3.8/site-packages/jittor[m
[38;5;2m[i 0727 04:52:38.817542 36 compiler.py:956] g++ at /usr/bin/g++(9.3.0)[m
[38;5;2m[i 0727 04:52:38.817592 36 compiler.py:957] cache_path: /root/autodl-tmp/.cache/jittor_gpu/.cache/jittor/jt1.3.11/g++9.3.0/py3.8.18/Linux-5.15.0-9xc8/IntelRXeonRPlaxf4/fe1b/default[m
[38;5;2m[i 0727 04:52:38.820876 36 __init__.py:412] Found nvcc(11.3.109) at /usr/local/cuda/bin/nvcc.[m
[38;5;2m[i 0727 04:52:38.823751 36 __init__.py:412] Found addr2line(2.34) at /usr/bin/addr2line.[m
[38;5;2m[i 0727 04:52:39.107548 36 compiler.py:1012] cuda key:cu11.3.109_sm_86[m
[38;5;2m[i 0727 04:52:39.457550 36 __init__.py:227] Total mem: 755.27GB, using 16 procs for compiling.[m
[38;5;2m[i 0727 04:52:39.544804 36 jit_compiler.cc:28] Load cc_path: /usr/bin/g++[m
[38;5;2m[i 0727 04:52:39.890694 36 init.cc:63] Found cuda archs: [86,][m
[38;5;2m[i 0727 04:52:41.563068 36 cuda_flags.cc:55] CUDA enabled.[m
[Epoch 0/60] [lr 0.0001] [loss: 0.295] ETA: 0:26:32.228279

Compiling Operators(26/26) used: 3.31s eta:    0s 
[Epoch 0/60] [lr 0.0001] [loss: 0.1345] ETA: 1:08:23.208668
[Epoch 0/60] [lr 0.0001] [loss: 0.1297] ETA: 1:08:02.766762
[Epoch 0/60] [lr 0.0001] [loss: 0.1662] ETA: 1:04:55.492079
[Epoch 0/60] [lr 0.0001] [loss: 0.2081] ETA: 1:01:06.311994
[Epoch 0/60] [lr 0.0001] [loss: 0.1648] ETA: 1:04:56.346037
[Epoch 0/60] [lr 0.0001] [loss: 0.1327] ETA: 1:01:40.557404
[Epoch 1/60] [lr 0.0001] [loss: 0.2151] ETA: 1 day, 10:02:32.014980
[Epoch 1/60] [lr 0.0001] [loss: 0.1031] ETA: 1:07:40.246192
[Epoch 1/60] [lr 0.0001] [loss: 0.1506] ETA: 1:07:52.324691
[Epoch 1/60] [lr 0.0001] [loss: 0.1327] ETA: 1:04:59.339813
[Epoch 1/60] [lr 0.0001] [loss: 0.1772] ETA: 1:04:03.517450
[Epoch 1/60] [lr 0.0001] [loss: 0.1332] ETA: 1:04:13.763212
[Epoch 1/60] [lr 0.0001] [loss: 0.113] ETA: 1:03:09.753074
[Epoch 2/60] [lr 0.0001] [loss: 0.2023] ETA: 0:55:19.108212
[Epoch 2/60] [lr 0.0001] [loss: 0.1092] ETA: 1:07:00.849352
[Epoch 2/60] [lr 0.0001] [loss: 0.1409] ETA: 1:03:40.970180
[Epoch 2/60] [lr 0.0001] [loss: 0.1104] ETA: 1:05:58.580300
[Epoch 2/60] [lr 0.0001] [loss: 0.1132] ETA: 1:06:50.815045
[Epoch 2/60] [lr 0.0001] [loss: 0.1637] ETA: 1:06:17.899002
[Epoch 2/60] [lr 0.0001] [loss: 0.1556] ETA: 1:06:16.753080
[Epoch 3/60] [lr 0.0001] [loss: 0.0586] ETA: 0:53:59.594989
[Epoch 3/60] [lr 0.0001] [loss: 0.0758] ETA: 1:05:27.606122
[Epoch 3/60] [lr 0.0001] [loss: 0.1721] ETA: 1:02:53.161250
[Epoch 3/60] [lr 0.0001] [loss: 0.1571] ETA: 1:05:30.063699
[Epoch 3/60] [lr 0.0001] [loss: 0.1938] ETA: 0:55:31.798503
[Epoch 3/60] [lr 0.0001] [loss: 0.2018] ETA: 1:06:06.541197
[Epoch 3/60] [lr 0.0001] [loss: 0.1424] ETA: 1:05:48.922406
[Epoch 4/60] [lr 0.0001] [loss: 0.0689] ETA: 0:52:55.911261
[Epoch 4/60] [lr 0.0001] [loss: 0.0876] ETA: 0:58:10.619637
[Epoch 4/60] [lr 0.0001] [loss: 0.1587] ETA: 1:00:17.023569
[Epoch 4/60] [lr 0.0001] [loss: 0.1496] ETA: 1:03:57.416526
[Epoch 4/60] [lr 0.0001] [loss: 0.1361] ETA: 1:00:13.941311
[Epoch 4/60] [lr 0.0001] [loss: 0.1179] ETA: 1:04:19.922309
[Epoch 4/60] [lr 0.0001] [loss: 0.2046] ETA: 1:00:52.792088
[Epoch 5/60] [lr 0.0001] [loss: 0.0867] ETA: 0:48:41.114051
[Epoch 5/60] [lr 0.0001] [loss: 0.1189] ETA: 1:02:21.760941
[Epoch 5/60] [lr 0.0001] [loss: 0.1541] ETA: 1:03:25.898439
[Epoch 5/60] [lr 0.0001] [loss: 0.1139] ETA: 1:02:22.831117
[Epoch 5/60] [lr 0.0001] [loss: 0.0576] ETA: 1:02:43.264947
[Epoch 5/60] [lr 0.0001] [loss: 0.1285] ETA: 0:59:12.051572
[Epoch 5/60] [lr 0.0001] [loss: 0.0854] ETA: 1:01:38.767658
[Epoch 6/60] [lr 0.0001] [loss: 0.0875] ETA: 0:47:22.334391
[Epoch 6/60] [lr 0.0001] [loss: 0.1502] ETA: 1:01:44.668551
[Epoch 6/60] [lr 0.0001] [loss: 0.0828] ETA: 0:58:35.283955
[Epoch 6/60] [lr 0.0001] [loss: 0.0982] ETA: 1:02:44.948822
[Epoch 6/60] [lr 0.0001] [loss: 0.1498] ETA: 0:57:08.455268
[Epoch 6/60] [lr 0.0001] [loss: 0.1235] ETA: 0:58:22.426427
[Epoch 6/60] [lr 0.0001] [loss: 0.1058] ETA: 1:01:29.437501
[Epoch 7/60] [lr 0.0001] [loss: 0.1747] ETA: 0:43:56.373631
[Epoch 7/60] [lr 0.0001] [loss: 0.1575] ETA: 1:01:25.545226
[Epoch 7/60] [lr 0.0001] [loss: 0.1373] ETA: 0:53:37.588021
[Epoch 7/60] [lr 0.0001] [loss: 0.126] ETA: 0:54:07.922552
[Epoch 7/60] [lr 0.0001] [loss: 0.0972] ETA: 1:00:37.473829
[Epoch 7/60] [lr 0.0001] [loss: 0.0609] ETA: 0:57:25.014427
[Epoch 7/60] [lr 0.0001] [loss: 0.1609] ETA: 0:51:05.927851
[Epoch 8/60] [lr 0.0001] [loss: 0.0977] ETA: 0:49:22.356577
[Epoch 8/60] [lr 0.0001] [loss: 0.0803] ETA: 0:55:47.434148
[Epoch 8/60] [lr 0.0001] [loss: 0.1624] ETA: 0:57:09.192032
[Epoch 8/60] [lr 0.0001] [loss: 0.1906] ETA: 0:59:33.641250
[Epoch 8/60] [lr 0.0001] [loss: 0.1222] ETA: 0:56:27.287560
[Epoch 8/60] [lr 0.0001] [loss: 0.0888] ETA: 0:49:57.209529
[Epoch 8/60] [lr 0.0001] [loss: 0.183] ETA: 0:59:14.316690
[Epoch 9/60] [lr 0.0001] [loss: 0.1762] ETA: 0:49:14.700585
[Epoch 9/60] [lr 0.0001] [loss: 0.1977] ETA: 0:53:19.380675
[Epoch 9/60] [lr 0.0001] [loss: 0.0932] ETA: 0:58:51.734279
[Epoch 9/60] [lr 0.0001] [loss: 0.1161] ETA: 0:59:05.744865
[Epoch 9/60] [lr 0.0001] [loss: 0.1262] ETA: 0:55:54.838329
[Epoch 9/60] [lr 0.0001] [loss: 0.1372] ETA: 0:58:48.421271
[Epoch 9/60] [lr 0.0001] [loss: 0.1399] ETA: 0:57:44.781377
[Epoch 10/60] [lr 0.0001] [loss: 0.1567] ETA: 0:47:47.878139
[Epoch 10/60] [lr 0.0001] [loss: 0.1551] ETA: 0:57:35.650330
[Epoch 10/60] [lr 0.0001] [loss: 0.1534] ETA: 0:57:55.030255
[Epoch 10/60] [lr 0.0001] [loss: 0.1448] ETA: 0:57:44.925241
[Epoch 10/60] [lr 0.0001] [loss: 0.1559] ETA: 0:57:29.082625
[Epoch 10/60] [lr 0.0001] [loss: 0.1967] ETA: 0:57:39.199572
[Epoch 10/60] [lr 0.0001] [loss: 0.122] ETA: 0:56:50.596669
[Epoch 11/60] [lr 0.0001] [loss: 0.1181] ETA: 0:47:25.677631
[Epoch 11/60] [lr 0.0001] [loss: 0.1246] ETA: 0:54:21.040486
[Epoch 11/60] [lr 0.0001] [loss: 0.0813] ETA: 0:54:01.373928
[Epoch 11/60] [lr 0.0001] [loss: 0.0943] ETA: 0:56:19.766539
[Epoch 11/60] [lr 0.0001] [loss: 0.1517] ETA: 0:53:26.935557
[Epoch 11/60] [lr 0.0001] [loss: 0.1297] ETA: 0:43:45.242244
[Epoch 11/60] [lr 0.0001] [loss: 0.1388] ETA: 0:52:44.326962
[Epoch 12/60] [lr 0.0001] [loss: 0.0732] ETA: 0:42:29.938362
[Epoch 12/60] [lr 0.0001] [loss: 0.0948] ETA: 0:51:41.757938
[Epoch 12/60] [lr 0.0001] [loss: 0.1139] ETA: 0:52:56.497301
[Epoch 12/60] [lr 0.0001] [loss: 0.1403] ETA: 0:54:58.654006
[Epoch 12/60] [lr 0.0001] [loss: 0.1688] ETA: 0:52:23.146833
[Epoch 12/60] [lr 0.0001] [loss: 0.2202] ETA: 0:52:58.023473
[Epoch 12/60] [lr 0.0001] [loss: 0.0961] ETA: 0:53:52.596708
[Epoch 13/60] [lr 0.0001] [loss: 0.0579] ETA: 0:41:15.308057
[Epoch 13/60] [lr 0.0001] [loss: 0.1037] ETA: 0:51:17.916052
[Epoch 13/60] [lr 0.0001] [loss: 0.0624] ETA: 0:53:13.732621
[Epoch 13/60] [lr 0.0001] [loss: 0.1075] ETA: 0:54:11.475139
[Epoch 13/60] [lr 0.0001] [loss: 0.0778] ETA: 0:52:50.772160
[Epoch 13/60] [lr 0.0001] [loss: 0.1698] ETA: 0:53:12.773047
[Epoch 13/60] [lr 0.0001] [loss: 0.0954] ETA: 0:52:41.939379
[Epoch 14/60] [lr 0.0001] [loss: 0.1691] ETA: 0:40:08.352264
[Epoch 14/60] [lr 0.0001] [loss: 0.146] ETA: 0:47:38.767017
[Epoch 14/60] [lr 0.0001] [loss: 0.1184] ETA: 0:51:25.626530
[Epoch 14/60] [lr 0.0001] [loss: 0.1501] ETA: 0:52:47.256964
[Epoch 14/60] [lr 0.0001] [loss: 0.0818] ETA: 0:47:58.479590
[Epoch 14/60] [lr 0.0001] [loss: 0.1235] ETA: 0:50:15.326415
[Epoch 14/60] [lr 0.0001] [loss: 0.1136] ETA: 0:50:32.183558
[Epoch 15/60] [lr 0.0001] [loss: 0.0677] ETA: 0:43:13.285375
[Epoch 15/60] [lr 0.0001] [loss: 0.1589] ETA: 0:52:20.892447
[Epoch 15/60] [lr 0.0001] [loss: 0.092] ETA: 0:48:51.848708
[Epoch 15/60] [lr 0.0001] [loss: 0.1371] ETA: 0:51:18.324755
[Epoch 15/60] [lr 0.0001] [loss: 0.1756] ETA: 0:52:09.665256
[Epoch 15/60] [lr 0.0001] [loss: 0.0944] ETA: 0:51:27.205648
[Epoch 15/60] [lr 0.0001] [loss: 0.1244] ETA: 0:51:56.814036
[Epoch 16/60] [lr 0.0001] [loss: 0.1415] ETA: 0:38:45.913439
[Epoch 16/60] [lr 0.0001] [loss: 0.0867] ETA: 0:45:37.865696
[Epoch 16/60] [lr 0.0001] [loss: 0.1045] ETA: 0:50:47.935932
[Epoch 16/60] [lr 0.0001] [loss: 0.1431] ETA: 0:48:07.734025
[Epoch 16/60] [lr 0.0001] [loss: 0.1082] ETA: 0:50:38.312632
[Epoch 16/60] [lr 0.0001] [loss: 0.1079] ETA: 0:49:57.800612
[Epoch 16/60] [lr 0.0001] [loss: 0.115] ETA: 0:47:47.797485
[Epoch 17/60] [lr 0.0001] [loss: 0.0714] ETA: 0:40:51.809713
[Epoch 17/60] [lr 0.0001] [loss: 0.133] ETA: 0:49:06.774916
[Epoch 17/60] [lr 0.0001] [loss: 0.1174] ETA: 0:46:52.773050
[Epoch 17/60] [lr 0.0001] [loss: 0.1296] ETA: 0:46:53.541334
[Epoch 17/60] [lr 0.0001] [loss: 0.1375] ETA: 0:46:28.802068
[Epoch 17/60] [lr 0.0001] [loss: 0.0932] ETA: 0:46:10.763979
[Epoch 17/60] [lr 0.0001] [loss: 0.0921] ETA: 0:46:38.965155
[Epoch 18/60] [lr 0.0001] [loss: 0.2358] ETA: 0:37:48.556565
[Epoch 18/60] [lr 0.0001] [loss: 0.0964] ETA: 0:48:46.782068
[Epoch 18/60] [lr 0.0001] [loss: 0.0654] ETA: 0:43:31.744802
[Epoch 18/60] [lr 0.0001] [loss: 0.1074] ETA: 0:48:17.036419
[Epoch 18/60] [lr 0.0001] [loss: 0.111] ETA: 0:44:54.283573
[Epoch 18/60] [lr 0.0001] [loss: 0.075] ETA: 0:46:08.852432
[Epoch 18/60] [lr 0.0001] [loss: 0.0726] ETA: 0:43:42.210734
[Epoch 19/60] [lr 0.0001] [loss: 0.1376] ETA: 0:35:31.048877
[Epoch 19/60] [lr 0.0001] [loss: 0.1463] ETA: 0:44:43.612174
[Epoch 19/60] [lr 0.0001] [loss: 0.1526] ETA: 0:41:45.705448
[Epoch 19/60] [lr 0.0001] [loss: 0.084] ETA: 0:46:16.539727
[Epoch 19/60] [lr 0.0001] [loss: 0.0952] ETA: 0:41:38.643442
[Epoch 19/60] [lr 0.0001] [loss: 0.0796] ETA: 0:46:56.047005
[Epoch 19/60] [lr 0.0001] [loss: 0.0357] ETA: 0:47:28.888315
[Epoch 20/60] [lr 0.0001] [loss: 0.1359] ETA: 0:32:55.079899
[Epoch 20/60] [lr 0.0001] [loss: 0.0528] ETA: 0:43:55.500441
[Epoch 20/60] [lr 0.0001] [loss: 0.0575] ETA: 0:44:36.545606
[Epoch 20/60] [lr 0.0001] [loss: 0.0533] ETA: 0:45:00.029933
[Epoch 20/60] [lr 0.0001] [loss: 0.0269] ETA: 0:45:08.976974
[Epoch 20/60] [lr 0.0001] [loss: 0.0578] ETA: 0:45:47.725933
[Epoch 20/60] [lr 0.0001] [loss: 0.0357] ETA: 0:45:10.129910
[Epoch 21/60] [lr 0.0001] [loss: 0.0607] ETA: 0:34:48.121721
[Epoch 21/60] [lr 0.0001] [loss: 0.0463] ETA: 0:42:57.120417
[Epoch 21/60] [lr 0.0001] [loss: 0.0573] ETA: 0:42:15.163677
[Epoch 21/60] [lr 0.0001] [loss: 0.0389] ETA: 0:45:00.487225
[Epoch 21/60] [lr 0.0001] [loss: 0.0358] ETA: 0:44:42.492514
[Epoch 21/60] [lr 0.0001] [loss: 0.0371] ETA: 0:44:50.671068
[Epoch 21/60] [lr 0.0001] [loss: 0.0592] ETA: 0:41:55.405025
[Epoch 22/60] [lr 0.0001] [loss: 0.0486] ETA: 0:36:35.489586
[Epoch 22/60] [lr 0.0001] [loss: 0.0395] ETA: 0:41:46.711907
[Epoch 22/60] [lr 0.0001] [loss: 0.0263] ETA: 0:43:34.008326
[Epoch 22/60] [lr 0.0001] [loss: 0.0414] ETA: 0:43:35.395603
[Epoch 22/60] [lr 0.0001] [loss: 0.0294] ETA: 0:43:28.400414
[Epoch 22/60] [lr 0.0001] [loss: 0.0435] ETA: 0:38:04.403690
[Epoch 22/60] [lr 0.0001] [loss: 0.048] ETA: 0:40:37.435294
[Epoch 23/60] [lr 0.0001] [loss: 0.0311] ETA: 0:32:22.717194
[Epoch 23/60] [lr 0.0001] [loss: 0.0349] ETA: 0:42:53.249112
[Epoch 23/60] [lr 0.0001] [loss: 0.0728] ETA: 0:40:05.270885
[Epoch 23/60] [lr 0.0001] [loss: 0.0283] ETA: 0:42:07.024476
[Epoch 23/60] [lr 0.0001] [loss: 0.0533] ETA: 0:39:41.645809
[Epoch 23/60] [lr 0.0001] [loss: 0.0371] ETA: 0:40:07.254911
[Epoch 23/60] [lr 0.0001] [loss: 0.0531] ETA: 0:39:50.391662
[Epoch 24/60] [lr 0.0001] [loss: 0.0268] ETA: 0:34:11.030311
[Epoch 24/60] [lr 0.0001] [loss: 0.0609] ETA: 0:37:05.802483
[Epoch 24/60] [lr 0.0001] [loss: 0.0673] ETA: 0:39:43.688614
[Epoch 24/60] [lr 0.0001] [loss: 0.0907] ETA: 0:38:58.201936
[Epoch 24/60] [lr 0.0001] [loss: 0.0928] ETA: 0:36:48.882442
[Epoch 24/60] [lr 0.0001] [loss: 0.048] ETA: 0:41:03.370269
[Epoch 24/60] [lr 0.0001] [loss: 0.0278] ETA: 0:40:37.480007
[Epoch 25/60] [lr 5e-05] [loss: 0.0496] ETA: 0:33:27.380766
[Epoch 25/60] [lr 5e-05] [loss: 0.0422] ETA: 0:38:23.486992
[Epoch 25/60] [lr 5e-05] [loss: 0.0394] ETA: 0:39:52.383384
[Epoch 25/60] [lr 5e-05] [loss: 0.0527] ETA: 0:37:57.900181
[Epoch 25/60] [lr 5e-05] [loss: 0.029] ETA: 0:39:41.140411
[Epoch 25/60] [lr 5e-05] [loss: 0.0503] ETA: 0:37:34.697713
