name,height,width,max_abs_uint8,mean_abs_uint8,differing_values,value_count,psnr_db
00000.png,384,512,1,0.023008558485243056,13571,589824,64.5119095043548
00011.png,384,512,1,0.022710164388020832,13395,589824,64.56860082986707
00025.png,384,512,1,0.027436998155381944,16183,589824,63.74743766802137
00031.png,384,512,1,0.026891072591145832,15861,589824,63.834722358061605
00033.png,384,512,1,0.0240020751953125,14157,589824,64.32831568868322
00042.png,384,512,1,0.028737386067708332,16950,589824,63.54633098391833
00061.png,384,512,1,0.027720133463541668,16350,589824,63.70285043934629
00071.png,384,512,1,0.029493543836805556,17396,589824,63.43353401937635
00082.png,384,512,1,0.025902642144097224,15278,589824,63.99736295239273
00097.png,384,512,1,0.0272979736328125,16101,589824,63.76949950924236
00107.png,384,512,1,0.023644341362847224,13946,589824,64.39353140062035
00112.png,384,512,1,0.027930365668402776,16474,589824,63.67003739283269
00118.png,384,512,1,0.028199937608506944,16633,589824,63.628322134106455
00147.png,384,512,1,0.028028700086805556,16532,589824,63.65477404321264
00149.png,384,512,1,0.025363498263888888,14960,589824,64.08871207402493
00150.png,384,512,1,0.025572035047743056,15083,589824,64.05315069883537
00159.png,384,512,1,0.024690416124131944,14563,589824,64.20551951418304
00177.png,384,512,1,0.024775187174479168,14613,589824,64.19063416639501
00196.png,384,512,1,0.027004665798611112,15928,589824,63.816415539115816
00202.png,384,512,1,0.0260009765625,15336,589824,63.980907010609286
00210.png,384,512,1,0.0242919921875,14328,589824,64.27617228089959
00215.png,384,512,1,0.023373074001736112,13786,589824,64.44364526772766
00232.png,384,512,1,0.0260467529296875,15363,589824,63.973267703768755
00242.png,384,512,1,0.025185479058159724,14855,589824,64.11930144791252
00255.png,384,512,1,0.020473904079861112,12076,589824,65.01879696579874
00274.png,384,512,1,0.017712063259548612,10447,589824,65.64811206225323
00284.png,384,512,1,0.019192165798611112,11320,589824,65.29956374078681
00290.png,384,512,1,0.019473605685763888,11486,589824,65.23633988985787
00306.png,384,512,1,0.018720838758680556,11042,589824,65.40755058126814
00320.png,384,512,1,0.020634969075520832,12171,589824,64.98476538506947
00325.png,384,512,1,0.018398708767361112,10852,589824,65.48293015841375
00334.png,384,512,1,0.017973158094618056,10601,589824,65.58455966421107
00339.png,384,512,1,0.019892374674479168,11733,589824,65.14393730259141
00349.png,384,512,1,0.029541015625,17424,589824,63.426549385192345
00353.png,384,512,1,0.029559665256076388,17435,589824,63.423808492189394
00370.png,384,512,1,0.029083251953125,17154,589824,63.49437395189302
00385.png,384,512,1,0.0297698974609375,17559,589824,63.393030220970914
00386.png,384,512,1,0.020055135091145832,11829,589824,65.10854769138048
00388.png,384,512,1,0.023417154947916668,13812,589824,64.43546231253518
00389.png,384,512,1,0.020991007486979168,12381,589824,64.91047077333856
00390.png,384,512,1,0.019395616319444444,11440,589824,65.2537677647393
00400.png,384,512,1,0.020714653862847224,12218,589824,64.96802680134944
00405.png,384,512,1,0.0189208984375,11160,589824,65.36138606329375
00409.png,384,512,1,0.019166734483506944,11305,589824,65.30532234249556
00419.png,384,512,1,0.018383449978298612,10843,589824,65.48653343157471
00421.png,384,512,1,0.021750556098090276,12829,589824,64.75609995795892
00434.png,384,512,1,0.020840115017361112,12292,589824,64.94180249346594
00441.png,384,512,1,0.016579522026909724,9779,589824,65.93508354802496
00443.png,384,512,1,0.018985324435763888,11198,589824,65.3466233777197
00449.png,384,512,1,0.018200344509548612,10735,589824,65.53000752158667
00453.png,384,512,1,0.019705878363715276,11623,589824,65.18484563127197
00461.png,384,512,1,0.022238837348090276,13117,589824,64.65968282387188
00479.png,384,512,1,0.018642849392361112,10996,589824,65.42568069759503
00489.png,384,512,1,0.016130235460069444,9514,589824,66.05439653847051
00497.png,384,512,1,0.017891777886284724,10553,589824,65.60426862791373
00512.png,384,512,1,0.020697699652777776,12208,589824,64.9715828032013
00525.png,384,512,1,0.018861558702256944,11125,589824,65.37502781277965
00527.png,384,512,1,0.021350436740451388,12593,589824,64.83673597571126
00537.png,384,512,1,0.017644246419270832,10407,589824,65.66477246369212
00555.png,384,512,1,0.017710367838541668,10446,589824,65.6485277942996
00572.png,384,512,1,0.016009860568576388,9443,589824,66.08692811244774
00587.png,384,512,1,0.013805813259548612,8143,589824,66.73018366138098
00606.png,384,512,1,0.014626397026909722,8627,589824,66.47943002893055
00621.png,384,512,1,0.014743381076388888,8696,589824,66.44483269852697
00633.png,384,512,1,0.015950520833333332,9408,589824,66.1030549219887
00643.png,384,512,1,0.019198947482638888,11324,589824,65.29802940237869
00652.png,384,512,1,0.018549601236979168,10941,589824,65.4474578289749
00653.png,384,512,1,0.017600165473090276,10381,589824,65.67563609888295
00661.png,384,512,1,0.0184173583984375,10863,589824,65.4785302139426
00671.png,384,512,1,0.019298977322048612,11383,589824,65.27546065080796
00676.png,384,512,1,0.020077175564236112,11842,589824,65.10377744184953
00677.png,384,512,1,0.021280924479166668,12552,589824,64.85089870352054
00687.png,384,512,1,0.017881605360243056,10547,589824,65.6067385492044
00697.png,384,512,1,0.018161349826388888,10712,589824,65.53932236926981
00712.png,384,512,1,0.029849582248263888,17606,589824,63.38142103410675
00716.png,384,512,1,0.029405381944444444,17344,589824,63.446535360726415
00719.png,384,512,1,0.025385538736979168,14973,589824,64.0849397634515
00725.png,384,512,1,0.025811089409722224,15224,589824,64.0127402565197
00726.png,384,512,1,0.025122748480902776,14818,589824,64.13013210484543
00738.png,384,512,1,0.026570638020833332,15672,589824,63.88678377944254
00760.png,384,512,1,0.0261383056640625,15417,589824,63.95802928526099
00762.png,384,512,1,0.023049248589409724,13595,589824,64.50423589007416
00769.png,384,512,1,0.021458943684895832,12657,589824,64.8147202082939
00787.png,384,512,1,0.024493747287326388,14447,589824,64.24025128143685
00800.png,384,512,1,0.025327894422743056,14939,589824,64.09481273666894
00801.png,384,512,1,0.027499728732638888,16220,589824,63.73751951055797
00805.png,384,512,1,0.025816175672743056,15227,589824,64.01188453194584
00818.png,384,512,1,0.026396009657118056,15569,589824,63.915420822888905
00825.png,384,512,1,0.021089341905381944,12439,589824,64.89017333111376
00826.png,384,512,1,0.021111382378472224,12452,589824,64.88563688920456
00829.png,384,512,1,0.020012749565972224,11804,589824,65.11773600103012
00834.png,384,512,1,0.020940144856770832,12351,589824,64.92100679213786
00857.png,384,512,1,0.0223388671875,13176,589824,64.64019214769236
00867.png,384,512,1,0.028918796115451388,17057,589824,63.51900151474291
00871.png,384,512,1,0.028771294487847224,16970,589824,63.54120958613258
00878.png,384,512,1,0.028342352973090276,16717,589824,63.6064445847059
00896.png,384,512,1,0.028803507486979168,16989,589824,63.53634984584743
00910.png,384,512,1,0.028925577799479168,17061,589824,63.51798317959104
00916.png,384,512,1,0.029690212673611112,17512,589824,63.40467052371059
00922.png,384,512,1,0.029798719618055556,17576,589824,63.38882757018481
00926.png,384,512,1,0.029993693033854168,17691,589824,63.36050418433465
00950.png,384,512,1,0.028245713975694444,16660,589824,63.62127803860165
00958.png,384,512,1,0.026777479383680556,15794,589824,63.8531066725389
00965.png,384,512,1,0.0264892578125,15624,589824,63.90010570651136
00976.png,384,512,1,0.021920098198784724,12929,589824,64.72237865476436
00994.png,384,512,1,0.020200941297743056,11915,589824,65.07708754248459
01017.png,384,512,1,0.016459147135416668,9708,589824,65.96673033271037
01034.png,384,512,1,0.028896755642361112,17044,589824,63.522312754025194
01043.png,384,512,1,0.0291595458984375,17199,589824,63.48299604436597
01079.png,384,512,1,0.017232259114583332,10164,589824,65.76738144552603
01093.png,384,512,1,0.016716851128472224,9860,589824,65.89925885989723
01101.png,384,512,1,0.016318427191840276,9625,589824,66.00402062750396
01115.png,384,512,1,0.020256890190972224,11948,589824,65.06507586998843
01122.png,384,512,1,0.0198516845703125,11709,589824,65.15282994930024
01136.png,384,512,1,0.020384046766493056,12023,589824,65.03789953823006
01147.png,384,512,1,0.020863850911458332,12306,589824,64.93685890178925
01156.png,384,512,1,0.021338568793402776,12586,589824,64.83915073519468
01165.png,384,512,1,0.021993001302083332,12972,589824,64.7079586093
01186.png,384,512,1,0.026884290907118056,15857,589824,63.83581774739058
01204.png,384,512,1,0.028944227430555556,17072,589824,63.5151839885054
01212.png,384,512,1,0.028937445746527776,17068,589824,63.51620166743659
01223.png,384,512,1,0.028127034505208332,16590,589824,63.63956414906574
01227.png,384,512,1,0.020975748697916668,12372,589824,64.91362889599793
01242.png,384,512,1,0.019343058268229168,11409,589824,65.2655522079969
01249.png,384,512,1,0.020204332139756944,11917,589824,65.07635861586002
01267.png,384,512,1,0.01708984375,10080,589824,65.80342268821428
01270.png,384,512,1,0.022794935438368056,13445,589824,64.55241994371613
01299.png,384,512,1,0.017688327365451388,10433,589824,65.65393593548865
01301.png,180,240,1,0.02625,3402,129600,63.93951053125935
01320.png,180,240,1,0.026319444444444444,3411,129600,63.92803642995088
01331.png,180,240,1,0.02724537037037037,3531,129600,63.777876448393876
01345.png,384,512,1,0.030753241644965276,18139,589824,63.251894601281904
01388.png,384,512,1,0.03148227267795139,18569,589824,63.15014284707351
01393.png,384,512,1,0.025978936089409724,15323,589824,63.98458999348746
01406.png,384,512,1,0.025029500325520832,14763,589824,64.14628181177191
01413.png,384,512,1,0.025387234157986112,14974,589824,64.08464972138914
