name,height,width,max_abs_uint8,mean_abs_uint8,differing_values,value_count,psnr_db
00000.png,384,512,58,4.722098456488715,514655,589824,30.632050565550315
00011.png,384,512,71,4.69126213921441,517181,589824,30.705014540483305
00025.png,384,512,79,4.5883229573567705,510894,589824,30.813020073615647
00031.png,384,512,76,4.901073879665798,521888,589824,30.531601817489186
00033.png,384,512,58,4.93959214952257,526621,589824,30.51503510532659
00042.png,384,512,74,4.360683865017361,520272,589824,31.493318796748028
00061.png,384,512,108,5.197482638888889,524684,589824,30.11187531331491
00071.png,384,512,86,5.075102064344618,529680,589824,30.361987342054686
00082.png,384,512,90,3.3428853352864585,526372,589824,34.37540340895409
00097.png,384,512,99,3.6061876085069446,536011,589824,34.215313881079965
00107.png,384,512,75,2.8016238742404513,511030,589824,35.32633486088237
00112.png,384,512,75,4.32440185546875,536154,589824,32.13895295974762
00118.png,384,512,83,4.968660142686632,545273,589824,31.152286478244132
00147.png,384,512,115,4.035312228732639,550383,589824,32.75309203417753
00149.png,384,512,72,4.531453450520833,544289,589824,31.832987966277418
00150.png,384,512,72,4.110424465603298,546416,589824,32.6733586045442
00159.png,384,512,100,4.073121812608507,521797,589824,32.48144890006283
00177.png,384,512,60,4.242428249782986,534744,589824,32.164991475018205
00196.png,384,512,53,2.3891533745659723,530502,589824,37.11051515323398
00202.png,384,512,66,3.4018690321180554,547178,589824,34.490766357338686
00210.png,384,512,61,3.3188646104600696,527895,589824,34.46779157622459
00215.png,384,512,59,3.3383043077256946,526650,589824,34.439135811100094
00232.png,384,512,70,4.505308363172743,537781,589824,32.275426983524724
00242.png,384,512,70,4.57322014702691,540805,589824,31.791047797879152
00255.png,384,512,58,2.7562154134114585,461013,589824,35.07407495203938
00274.png,384,512,45,2.518163045247396,522755,589824,36.61873760414062
00284.png,384,512,42,2.5969119601779513,504464,589824,36.46327889143186
00290.png,384,512,46,2.543545193142361,498224,589824,36.630477018425694
00306.png,384,512,46,2.401974148220486,479633,589824,36.9988801608507
00320.png,384,512,45,2.76165771484375,453067,589824,35.360518339327214
00325.png,384,512,31,4.041251288519965,565080,589824,32.65551277672169
00334.png,384,512,30,3.3215569390190973,569959,589824,36.42467506944431
00339.png,384,512,78,5.714664035373264,558463,589824,29.9277852948552
00349.png,384,512,63,3.1442972819010415,515213,589824,34.858757849022744
00353.png,384,512,55,3.108639187282986,515927,589824,34.872057316474304
00370.png,384,512,70,3.2193535698784723,521317,589824,34.668660076611665
00385.png,384,512,45,3.2133076985677085,521624,589824,34.89483544683199
00386.png,384,512,42,5.4872283935546875,542950,589824,30.83062224998575
00388.png,384,512,49,3.194980197482639,500879,589824,34.622189284164136
00389.png,384,512,35,4.841235690646702,520345,589824,31.61512589736909
00390.png,384,512,34,5.44173346625434,556828,589824,31.34117578717888
00400.png,384,512,68,5.5293528238932295,547025,589824,30.59617489395318
00405.png,384,512,67,5.7135009765625,551191,589824,30.83569126243093
00409.png,384,512,56,5.070109049479167,545632,589824,31.31329771685383
00419.png,384,512,55,5.050516764322917,544179,589824,30.84073830156065
00421.png,384,512,97,4.772113376193577,529597,589824,31.689953015971916
00434.png,384,512,73,4.91847907172309,536759,589824,31.364929636704094
00441.png,384,512,53,5.2412567138671875,562056,589824,31.479788606401687
00443.png,384,512,53,4.632556491427952,543805,589824,31.67988187990239
00449.png,384,512,47,4.3124847412109375,549246,589824,32.702477733864235
00453.png,384,512,33,4.6225738525390625,550130,589824,32.38724706897498
00461.png,384,512,59,4.1866505940755205,538991,589824,33.2312637559063
00479.png,384,512,49,5.214409722222222,546520,589824,31.095090702920686
00489.png,384,512,74,6.128553602430555,566138,589824,30.842211162302267
00497.png,384,512,53,5.21443854437934,545061,589824,30.898674835353944
00512.png,384,512,60,4.41237046983507,539160,589824,32.71779845421202
00525.png,384,512,57,5.00959947374132,545572,589824,31.80776736201699
00527.png,384,512,61,4.589450412326389,527250,589824,31.685979688895554
00537.png,384,512,68,6.027716742621528,563982,589824,30.89562664892499
00555.png,384,512,125,6.124399820963542,564616,589824,30.626444157424977
00572.png,384,512,93,5.431959364149305,561643,589824,31.8575322489766
00587.png,384,512,37,4.723029242621528,569439,589824,33.64791303131301
00606.png,384,512,44,3.93245612250434,564159,589824,34.894857466294084
00621.png,384,512,102,3.697457207573785,565680,589824,35.35508907993807
00633.png,384,512,79,6.181898328993055,571307,589824,30.794092619710295
00643.png,384,512,62,2.84989251030816,516459,589824,36.26862598536117
00652.png,384,512,34,4.166644626193577,543986,589824,32.55726269494165
00653.png,384,512,75,5.993299696180555,569941,589824,30.497612281712968
00661.png,384,512,51,3.9879947238498263,560814,589824,34.55835876815682
00671.png,384,512,56,5.101920233832465,537324,589824,31.059241749245075
00676.png,384,512,94,4.9858856201171875,540207,589824,31.42842062923958
00677.png,384,512,57,4.763153076171875,543612,589824,31.35957546249207
00687.png,384,512,61,4.514461941189236,556118,589824,32.18079948708646
00697.png,384,512,115,4.956846449110243,558513,589824,31.525830373059293
00712.png,384,512,43,4.2425689697265625,499245,589824,31.883766102428726
00716.png,384,512,34,3.3817562527126737,556788,589824,35.65271518718896
00719.png,384,512,102,3.97552490234375,522632,589824,32.402488363637275
00725.png,384,512,99,3.8268585205078125,513642,589824,32.484750074752185
00726.png,384,512,93,3.748501247829861,510071,589824,32.51870882271508
00738.png,384,512,63,4.79557630750868,509550,589824,31.17592039806653
00760.png,384,512,57,3.6448737250434027,536266,589824,33.936546659908615
00762.png,384,512,76,3.11940680609809,534746,589824,34.705625388777214
00769.png,384,512,64,3.337734646267361,527791,589824,34.146627778481815
00787.png,384,512,37,5.834094577365452,552972,589824,31.622510418836733
00800.png,384,512,47,7.719902886284722,563248,589824,29.551255541939796
00801.png,384,512,46,4.006701999240452,529223,589824,33.50855684767518
