name,height,width,max_abs_uint8,mean_abs_uint8,differing_values,value_count,psnr_db
00000.png,384,512,58,4.59194098578559,565977,589824,33.37087742352459
00011.png,384,512,70,4.642122056749132,564697,589824,33.173831937285
00025.png,384,512,38,3.5300496419270835,570483,589824,35.87164974047251
00031.png,384,512,66,3.574515448676215,576496,589824,35.94010444019247
00033.png,384,512,60,4.612640380859375,563081,589824,33.200997591210765
00042.png,384,512,44,3.1093936496310763,546070,589824,36.477053059453446
00061.png,384,512,39,3.480524698893229,567666,589824,36.072652490583074
00071.png,384,512,50,3.5473802354600696,576954,589824,36.11206867870844
00082.png,384,512,58,3.1786956787109375,553456,589824,36.73637422108087
00097.png,384,512,60,2.672493828667535,554857,589824,38.36000459037551
00107.png,384,512,44,3.88077629937066,569301,589824,35.280743079108916
00112.png,384,512,79,3.161220974392361,554024,589824,36.07369456395321
00118.png,384,512,76,4.24021742078993,572333,589824,33.7805974785918
00147.png,384,512,62,4.04182603624132,573842,589824,34.40050014991095
00149.png,384,512,55,4.454779730902778,566709,589824,32.94014181256493
00150.png,384,512,48,4.245291815863715,564318,589824,32.879831359768794
00159.png,384,512,48,4.52085198296441,566218,589824,33.03827877057313
00177.png,384,512,51,4.253041585286458,572696,589824,34.0170670987666
00196.png,384,512,39,3.2346564398871527,570179,589824,35.967036335894406
00202.png,384,512,43,2.88547600640191,547941,589824,36.43132596982962
00210.png,384,512,63,3.1480000813802085,436069,589824,34.03794952866701
00215.png,384,512,55,3.27445305718316,484310,589824,33.80818870044658
00232.png,384,512,40,4.3407643636067705,560270,589824,33.481142753134215
00242.png,384,512,50,4.2752126057942705,555190,589824,33.674341080343055
00255.png,384,512,59,1.6047532823350694,426595,589824,40.814639145111926
00274.png,384,512,64,1.4510904947916667,437519,589824,41.87465338759296
00284.png,384,512,63,1.9424591064453125,477771,589824,39.57857996161383
00290.png,384,512,44,1.9586741129557292,478869,589824,39.7617784633553
00306.png,384,512,56,2.173583984375,499931,589824,39.050670559139945
00320.png,384,512,83,2.191435072157118,434303,589824,37.65839609511842
