name,height,width,max_abs_uint8,mean_abs_uint8,differing_values,value_count,psnr_db
01.png,576,768,32,2.0018717447916665,975706,1327104,38.13947915109086
02.png,576,768,28,2.873408564814815,1113608,1327104,36.49396066206049
03.png,576,768,30,3.268366307388117,1124215,1327104,35.289406623154875
04.png,576,768,32,5.024774998794367,1244942,1327104,32.63758069868241
05.png,280,280,22,3.921160714285714,218417,235200,34.880687605922006
06.png,475,575,19,2.4993525553012965,747524,819375,38.59578996233147
07.png,446,599,15,1.8785681666754006,674155,801462,39.72341704384019
08.png,458,611,16,2.7408691218967163,720779,839514,37.18213248218365
09.png,709,945,33,3.8864530861709987,1928295,2010015,35.080493140095925
10.png,480,640,42,4.205234375,892026,921600,34.4030823477122
11.png,280,280,20,1.9903784013605441,193229,235200,39.27786706473485
12.png,328,595,18,2.593663318986131,525750,585480,38.03537848815664
13.png,551,749,13,2.1930325329921647,1133247,1238097,40.14819878046283
14.png,480,640,19,3.0869379340277776,839985,921600,36.7697869356322
15.png,458,622,18,1.1286080025461371,558217,854628,43.828415928638044
16.png,457,619,30,3.274287720836294,818311,848649,36.62618786160591
17.png,450,620,21,1.621457586618877,622438,837000,40.714386073632134
18.png,450,620,34,2.174978494623656,721731,837000,38.83987469125853
19.png,450,620,28,3.345203106332139,698574,837000,34.7635484111194
20.png,450,620,23,3.390642771804062,605058,837000,34.178479801588374
21.png,576,768,32,2.748844853153935,1165844,1327104,36.63296735733431
22.png,450,620,27,4.81594743130227,814874,837000,32.04132994307828
23.png,450,620,28,4.194544802867384,773847,837000,32.66025467708108
24.png,450,620,16,2.475961768219833,672624,837000,37.82471161038153
25.png,450,620,21,2.8732724014336917,776535,837000,36.51124786719815
26.png,450,620,27,3.5131433691756273,762906,837000,34.852131822139455
27.png,450,620,25,3.8406296296296296,793071,837000,33.487613048852516
28.png,450,620,23,2.962016726403823,807743,837000,35.71667605177438
29.png,450,620,17,3.1331433691756274,797453,837000,37.38881281681327
30.png,576,768,46,3.2107709719810957,1184162,1327104,35.32145889137782
31.png,450,620,17,3.5301708482676224,775612,837000,34.775177640438145
32.png,450,620,28,3.278979689366786,705892,837000,36.137619880542594
33.png,678,917,22,4.284836085349495,1744798,1865178,33.37059395673998
34.png,270,360,26,6.573731138545953,285109,291600,31.048190924352905
35.png,270,360,28,1.8659876543209877,259658,291600,40.51009279871703
36.png,270,360,17,2.0012962962962964,235506,291600,39.31455047976098
37.png,247,359,29,1.6752111691270173,203337,266019,39.8412119686829
38.png,576,768,32,3.110625843942901,1222418,1327104,36.340286163529626
39.png,576,768,38,2.2595275125385803,1035563,1327104,37.22459327794427
40.png,576,768,38,2.9463824990354937,1129344,1327104,36.751205177615944
41.png,371,472,36,4.157461129638936,475108,525336,33.05409411182863
42.png,439,604,22,2.560011213524617,730130,795468,38.319931895732466
43.png,445,616,21,2.692702709275743,757469,822360,38.125488292095675
44.png,270,360,23,2.063689986282579,259662,291600,39.82016328379663
45.png,480,640,28,1.2343088107638889,661164,921600,43.025768042774516
