framework,epoch_zero_based,epoch_one_based,logged_samples,learning_rate,loss_mean,loss_median,loss_min,loss_max,loss_first,loss_last
Jittor,0,1,7,0.0001,0.17585714285714288,0.1648,0.1297,0.295,0.295,0.1327
Jittor,1,2,7,0.0001,0.14641428571428575,0.1332,0.1031,0.2151,0.2151,0.113
Jittor,2,3,7,0.0001,0.14218571428571428,0.1409,0.1092,0.2023,0.2023,0.1556
Jittor,3,4,7,0.0001,0.1430857142857143,0.1571,0.0586,0.2018,0.0586,0.1424
Jittor,4,5,7,0.0001,0.1319142857142857,0.1361,0.0689,0.2046,0.0689,0.2046
Jittor,5,6,7,0.0001,0.10644285714285714,0.1139,0.0576,0.1541,0.0867,0.0854
Jittor,6,7,7,0.0001,0.11397142857142857,0.1058,0.0828,0.1502,0.0875,0.1058
Jittor,7,8,7,0.0001,0.13064285714285712,0.1373,0.0609,0.1747,0.1747,0.1609
Jittor,8,9,7,0.0001,0.13214285714285712,0.1222,0.0803,0.1906,0.0977,0.183
Jittor,9,10,7,0.0001,0.14092857142857143,0.1372,0.0932,0.1977,0.1762,0.1399
Jittor,10,11,7,0.0001,0.15494285714285713,0.1551,0.122,0.1967,0.1567,0.122
Jittor,11,12,7,0.0001,0.1197857142857143,0.1246,0.0813,0.1517,0.1181,0.1388
Jittor,12,13,7,0.0001,0.1296142857142857,0.1139,0.0732,0.2202,0.0732,0.0961
Jittor,13,14,7,0.0001,0.09635714285714285,0.0954,0.0579,0.1698,0.0579,0.0954
Jittor,14,15,7,0.0001,0.12892857142857142,0.1235,0.0818,0.1691,0.1691,0.1136
Jittor,15,16,7,0.0001,0.12144285714285714,0.1244,0.0677,0.1756,0.0677,0.1244
Jittor,16,17,7,0.0001,0.11527142857142857,0.1082,0.0867,0.1431,0.1415,0.115
Jittor,17,18,7,0.0001,0.11059999999999999,0.1174,0.0714,0.1375,0.0714,0.0921
Jittor,18,19,7,0.0001,0.10908571428571427,0.0964,0.0654,0.2358,0.2358,0.0726
Jittor,19,20,7,0.0001,0.10442857142857144,0.0952,0.0357,0.1526,0.1376,0.0357
Jittor,20,21,7,0.0001,0.05998571428571429,0.0533,0.0269,0.1359,0.1359,0.0357
Jittor,21,22,7,0.0001,0.047900000000000005,0.0463,0.0358,0.0607,0.0607,0.0592
Jittor,22,23,7,0.0001,0.03952857142857143,0.0414,0.0263,0.0486,0.0486,0.048
Jittor,23,24,7,0.0001,0.04437142857142857,0.0371,0.0283,0.0728,0.0311,0.0531
Jittor,24,25,7,0.0001,0.059185714285714286,0.0609,0.0268,0.0928,0.0268,0.0278
Jittor,25,26,7,5e-05,0.04209999999999999,0.0422,0.029,0.0527,0.0496,0.0315
Jittor,26,27,7,5e-05,0.055485714285714284,0.0525,0.0236,0.109,0.0525,0.0562
Jittor,27,28,7,5e-05,0.04641428571428572,0.0486,0.021,0.0613,0.021,0.0613
Jittor,28,29,7,5e-05,0.04711428571428571,0.0476,0.0318,0.0825,0.0333,0.0476
Jittor,29,30,7,5e-05,0.04404285714285715,0.0403,0.0243,0.0611,0.0542,0.0349
Jittor,30,31,7,5e-05,0.039357142857142854,0.0465,0.0249,0.0495,0.0278,0.031
Jittor,31,32,7,5e-05,0.04201428571428572,0.0345,0.025,0.0747,0.0747,0.0519
Jittor,32,33,7,5e-05,0.03471428571428571,0.032,0.0243,0.0601,0.0365,0.0247
Jittor,33,34,7,5e-05,0.043885714285714285,0.0422,0.024,0.0696,0.0458,0.0365
Jittor,34,35,7,5e-05,0.03861428571428571,0.0372,0.0291,0.0494,0.0319,0.0405
Jittor,35,36,7,5e-05,0.0463,0.0397,0.0218,0.0894,0.0894,0.0397
Jittor,36,37,7,5e-05,0.0448,0.0413,0.0267,0.0663,0.0663,0.0576
Jittor,37,38,7,5e-05,0.046285714285714284,0.0416,0.0276,0.0818,0.0416,0.0276
