experiment,dataset,VIF_reproduced,VIF_paper,VIF_delta,SCD_reproduced,SCD_paper,SCD_delta,MI_reproduced,MI_paper,MI_delta,Qabf_reproduced,Qabf_paper,Qabf_delta,SSIM_reproduced,SSIM_paper,SSIM_delta,MS_SSIM_reproduced,MS_SSIM_paper,MS_SSIM_delta,FMI_reproduced,FMI_paper,FMI_delta
OfficialPyTorch,MSRS,1.06088618156829,1.061,-0.00011381843170998884,1.70023695182964,1.7,0.00023695182964011963,5.10993243051876,5.111,-0.0010675694812398717,0.71524449674838,0.715,0.00024449674838000757,0.980834889286468,0.981,-0.0001651107135319796,0.975079283852277,0.975,7.92838522770678e-05,0.932670037366345,0.933,-0.0003299626336550343
OfficialPyTorch,M3FD_2x,0.759280995321528,0.759,0.0002809953215280325,1.66012680128677,1.66,0.00012680128677011737,3.77017223346511,3.771,-0.0008277665348899177,0.653654616328185,0.654,-0.00034538367181502494,0.964489947360751,0.964,0.0004899473607510307,0.923058917386689,0.923,5.89173866889503e-05,0.882748475177807,0.883,-0.00025152482219303884
OfficialPyTorch,TNO,0.835492206200169,0.836,-0.0005077937998310134,1.7244954966958,1.724,0.0004954966957999574,3.50801170636329,3.508,1.170636328984287e-05,0.587576794188817,0.588,-0.0004232058111829362,0.931755515269973,0.932,-0.0002444847300270281,0.904369411997118,0.904,0.00036941199711792994,0.914383210269708,0.914,0.00038321026970800087
OfficialJittor,MSRS,1.06089550833546,1.061,-0.00010449166453985193,1.70020508927228,1.7,0.0002050892722800235,5.11083911211227,5.111,-0.0001608878877297215,0.715260618045203,0.715,0.00026061804520305376,0.980833927397879,0.981,-0.0001660726021209813,0.97508040124125,0.975,8.040124124997217e-05,0.9326693992436,0.933,-0.0003306007564000124
OfficialJittor,M3FD_2x,0.759335174454151,0.759,0.00033517445415098823,1.66008595768528,1.66,8.59576852800803e-05,3.77083311104812,3.771,-0.00016688895187977337,0.653688855362055,0.654,-0.00031114463794501557,0.964494663286036,0.964,0.000494663286035979,0.923054672928329,0.923,5.46729283289471e-05,0.882751787904738,0.883,-0.0002482120952620459
OfficialJittor,TNO,0.835515375534199,0.836,-0.00048462446580099794,1.72450602669135,1.724,0.0005060266913499145,3.50711206093319,3.508,-0.0008879390668101728,0.587575338329954,0.588,-0.000424661670045956,0.931762035138029,0.932,-0.0002379648619710295,0.90437157119684,0.904,0.0003715711968399482,0.914384004579895,0.914,0.00038400457989495873
PyTorchSelfTrained,MSRS,1.05156961245039,1.061,-0.009430387549610009,1.70379454826198,1.7,0.003794548261980113,5.04307908667298,5.111,-0.06792091332701933,0.70981433977072,0.715,-0.00518566022928002,0.979919079180194,0.981,-0.0010809208198059306,0.974917762002898,0.975,-8.223799710194157e-05,0.932429800428166,0.933,-0.000570199571834018
PyTorchSelfTrained,M3FD_2x,0.739027404782821,0.759,-0.01997259521717898,1.72396029016265,1.66,0.06396029016265015,3.54656120439899,3.771,-0.2244387956010101,0.649051369371838,0.654,-0.004948630628161976,0.968318748676322,0.964,0.004318748676321982,0.934148159718615,0.923,0.011148159718614936,0.880839898942591,0.883,-0.0021601010574090473
PyTorchSelfTrained,TNO,0.799915154709755,0.836,-0.036084845290244916,1.75452801005885,1.724,0.030528010058850086,3.16245461380501,3.508,-0.3455453861949902,0.577162557335859,0.588,-0.010837442664140995,0.946519880054498,0.932,0.014519880054498002,0.917269077636516,0.904,0.013269077636515969,0.91197217926581,0.914,-0.0020278207341900556
JittorSelfTrained,MSRS,1.06628861749619,1.061,0.00528861749619014,1.69085934448371,1.7,-0.009140655516290064,5.46050400704359,5.111,0.3495040070435902,0.710271225385783,0.715,-0.004728774614216946,0.973810229887843,0.981,-0.007189770112156935,0.971632182491413,0.975,-0.0033678175085869455,0.932555524275801,0.933,-0.0004444757241990338
JittorSelfTrained,M3FD_2x,0.725593174838937,0.759,-0.03340682516106297,1.67016148047432,1.66,0.010161480474319973,3.86433290655513,3.771,0.09333290655513027,0.629573015951506,0.654,-0.02442698404849397,0.962757051464399,0.964,-0.0012429485356009184,0.923434183795524,0.923,0.0004341837955239569,0.878365031461108,0.883,-0.004634968538892004
JittorSelfTrained,TNO,0.802736583795264,0.836,-0.03326341620473594,1.73684304020553,1.724,0.012843040205529954,3.33437772664825,3.508,-0.17362227335175007,0.567382252016643,0.588,-0.020617747983356915,0.947852270200331,0.932,0.015852270200330976,0.915246304715316,0.904,0.011246304715315958,0.911661656388683,0.914,-0.0023383436113170175
