name,height,width,max_abs_uint8,mean_abs_uint8,differing_values,value_count,psnr_db
01.png,576,768,1,0.014216670283564815,18867,1327104,66.60282469594087
02.png,576,768,1,0.004081820264274691,5417,1327104,72.02226483455094
03.png,576,768,1,0.017405568817515434,23099,1327104,65.72392140184027
04.png,576,768,1,0.007709267698688272,10231,1327104,69.26067234376396
05.png,280,280,1,0.02379251700680272,5596,235200,64.36639972452221
06.png,475,575,1,0.002394508009153318,1962,819375,74.3386406685814
07.png,446,599,1,0.0004080043720101514,327,801462,82.0241554402874
08.png,458,611,1,0.0036723628194407715,3083,839514,72.48134779107488
09.png,709,945,1,0.00010198928863714948,205,2010015,88.04525798224148
10.png,480,640,1,0.004016927083333333,3702,921600,72.09186412530161
11.png,280,280,1,0.02872448979591837,6756,235200,63.5482803737304
12.png,328,595,1,0.01911423105827697,11191,585480,65.3172352928787
13.png,551,749,1,0.004322763079144849,5352,1238097,71.77318927379058
14.png,480,640,1,0.003851996527777778,3550,921600,72.27394473891952
15.png,458,622,1,0.004332879334634485,3703,854628,71.76303766232819
16.png,457,619,1,0.009159263723871706,7773,848649,68.51219796972055
17.png,450,620,1,0.006396654719235365,5354,837000,70.07127452010256
18.png,450,620,1,0.004014336917562724,3360,837000,72.09466541471326
19.png,450,620,1,0.004103942652329749,3435,837000,71.99879077465602
20.png,450,620,1,0.011285543608124253,9446,837000,67.6055787762049
21.png,576,768,1,0.009993941695601851,13263,1327104,68.1334354941676
22.png,450,620,1,0.008115890083632019,6793,837000,69.03744204270443
23.png,450,620,1,0.007397849462365592,6192,837000,69.43974871186333
24.png,450,620,1,0.003913978494623656,3276,837000,72.2046192577279
25.png,450,620,1,0.0034086021505376346,2853,837000,72.80504047204093
26.png,450,620,1,0.012316606929510155,10309,837000,67.2258927923673
27.png,450,620,1,0.004702508960573477,3936,837000,71.40750729101866
28.png,450,620,1,0.00470131421744325,3935,837000,71.40861082166086
29.png,450,620,1,0.004524492234169654,3787,837000,71.57510513740344
30.png,576,768,1,0.012880678530092593,17094,1327104,67.03141619419176
31.png,450,620,1,0.00317921146953405,2661,837000,73.10760944309781
32.png,450,620,1,0.007684587813620072,6432,837000,69.27459783120776
33.png,678,917,1,0.004762011990276531,8882,1865178,71.35289876287
34.png,270,360,1,0.0316838134430727,9239,291600,63.122429134046044
35.png,270,360,1,0.01989368998628258,5801,291600,65.1436501504625
36.png,270,360,1,0.03108710562414266,9065,291600,63.20500072082319
37.png,247,359,1,0.022284122562674095,5928,266019,64.65084822454286
38.png,576,768,1,0.009639033564814815,12792,1327104,68.29046868304118
39.png,576,768,1,0.01700318889853395,22565,1327104,65.82549981186132
40.png,576,768,1,0.005457748601466049,7243,1327104,70.76066833841581
41.png,371,472,1,0.019715001446693164,10357,525336,65.18283547589998
42.png,439,604,1,0.01171134476811135,9316,795468,67.44473594588183
43.png,445,616,1,0.0076547983851354634,6295,822360,69.29146604289048
44.png,270,360,1,0.020936213991769547,6105,291600,64.92182212232946
45.png,480,640,1,0.033009982638888886,30422,921600,62.94435064948285
