framework,source_log,line_number,epoch_zero_based,epoch_one_based,configured_epochs,logged_sample_in_epoch,learning_rate,loss,eta
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,11,0,1,60,0,0.0001,0.295,0:26:32.228279
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,14,0,1,60,1,0.0001,0.1345,1:08:23.208668
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,15,0,1,60,2,0.0001,0.1297,1:08:02.766762
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,16,0,1,60,3,0.0001,0.1662,1:04:55.492079
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,17,0,1,60,4,0.0001,0.2081,1:01:06.311994
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,18,0,1,60,5,0.0001,0.1648,1:04:56.346037
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,19,0,1,60,6,0.0001,0.1327,1:01:40.557404
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,20,1,2,60,0,0.0001,0.2151,"1 day, 10:02:32.014980"
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,21,1,2,60,1,0.0001,0.1031,1:07:40.246192
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,22,1,2,60,2,0.0001,0.1506,1:07:52.324691
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,23,1,2,60,3,0.0001,0.1327,1:04:59.339813
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,24,1,2,60,4,0.0001,0.1772,1:04:03.517450
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,25,1,2,60,5,0.0001,0.1332,1:04:13.763212
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,26,1,2,60,6,0.0001,0.113,1:03:09.753074
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,27,2,3,60,0,0.0001,0.2023,0:55:19.108212
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,28,2,3,60,1,0.0001,0.1092,1:07:00.849352
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,29,2,3,60,2,0.0001,0.1409,1:03:40.970180
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,30,2,3,60,3,0.0001,0.1104,1:05:58.580300
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,31,2,3,60,4,0.0001,0.1132,1:06:50.815045
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,32,2,3,60,5,0.0001,0.1637,1:06:17.899002
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,33,2,3,60,6,0.0001,0.1556,1:06:16.753080
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,34,3,4,60,0,0.0001,0.0586,0:53:59.594989
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,35,3,4,60,1,0.0001,0.0758,1:05:27.606122
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,36,3,4,60,2,0.0001,0.1721,1:02:53.161250
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,37,3,4,60,3,0.0001,0.1571,1:05:30.063699
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,38,3,4,60,4,0.0001,0.1938,0:55:31.798503
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,39,3,4,60,5,0.0001,0.2018,1:06:06.541197
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,40,3,4,60,6,0.0001,0.1424,1:05:48.922406
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,41,4,5,60,0,0.0001,0.0689,0:52:55.911261
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,42,4,5,60,1,0.0001,0.0876,0:58:10.619637
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,43,4,5,60,2,0.0001,0.1587,1:00:17.023569
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,44,4,5,60,3,0.0001,0.1496,1:03:57.416526
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,45,4,5,60,4,0.0001,0.1361,1:00:13.941311
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,46,4,5,60,5,0.0001,0.1179,1:04:19.922309
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,47,4,5,60,6,0.0001,0.2046,1:00:52.792088
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,48,5,6,60,0,0.0001,0.0867,0:48:41.114051
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,49,5,6,60,1,0.0001,0.1189,1:02:21.760941
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,50,5,6,60,2,0.0001,0.1541,1:03:25.898439
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,51,5,6,60,3,0.0001,0.1139,1:02:22.831117
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,52,5,6,60,4,0.0001,0.0576,1:02:43.264947
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,53,5,6,60,5,0.0001,0.1285,0:59:12.051572
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,54,5,6,60,6,0.0001,0.0854,1:01:38.767658
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,55,6,7,60,0,0.0001,0.0875,0:47:22.334391
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,56,6,7,60,1,0.0001,0.1502,1:01:44.668551
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,57,6,7,60,2,0.0001,0.0828,0:58:35.283955
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,58,6,7,60,3,0.0001,0.0982,1:02:44.948822
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,59,6,7,60,4,0.0001,0.1498,0:57:08.455268
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,60,6,7,60,5,0.0001,0.1235,0:58:22.426427
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,61,6,7,60,6,0.0001,0.1058,1:01:29.437501
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,62,7,8,60,0,0.0001,0.1747,0:43:56.373631
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,63,7,8,60,1,0.0001,0.1575,1:01:25.545226
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,64,7,8,60,2,0.0001,0.1373,0:53:37.588021
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,65,7,8,60,3,0.0001,0.126,0:54:07.922552
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,66,7,8,60,4,0.0001,0.0972,1:00:37.473829
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,67,7,8,60,5,0.0001,0.0609,0:57:25.014427
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,68,7,8,60,6,0.0001,0.1609,0:51:05.927851
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,69,8,9,60,0,0.0001,0.0977,0:49:22.356577
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,70,8,9,60,1,0.0001,0.0803,0:55:47.434148
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,71,8,9,60,2,0.0001,0.1624,0:57:09.192032
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,72,8,9,60,3,0.0001,0.1906,0:59:33.641250
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,73,8,9,60,4,0.0001,0.1222,0:56:27.287560
